French,English
partie,part
histoire,history
chercher,search
aide,help
demande,request
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
enfant,child
point,point
venu,came
pardon,sorry
venez,come
minutes,minutes
chambre,bedroom
belle,beautiful
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
